QS201EW - Ethnic group,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 27 January 2023],,,,,,,,,,,,,,,,,,,
Population :,All usual residents,,,,,,,,,,,,,,,,,,
Units      :,Persons,,,,,,,,,,,,,,,,,,
Date       :,2011,,,,,,,,,,,,,,,,,,
Rural Urban:,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
,,,,,,,,,,,,,,,,,,,
Darlington,E06000005,726,145,523,349,462,206,105,46,463,97,350,236,98898,328,350,2019,112,149
County Durham,E06000047,1368,463,241,1598,1186,447,158,96,969,321,1093,711,495664,1229,467,6409,459,363
Hartlepool,E06000001,266,291,214,229,304,129,36,5,180,54,173,143,88924,193,40,742,57,48
Middlesbrough,E06000002,1477,6811,244,904,1332,1470,92,169,541,452,904,465,119106,574,85,2290,950,546
Northumberland,E06000057,939,351,295,452,621,193,114,31,515,230,624,323,307097,833,156,2980,73,201
Redcar and Cleveland,E06000003,91,295,94,155,234,80,34,8,298,107,273,175,131928,415,85,775,37,93
Stockton-on-Tees,E06000004,1488,3072,132,866,1074,936,84,113,419,316,823,439,178965,536,143,1655,236,313
Gateshead,E08000037,916,617,242,1054,909,903,90,88,412,260,523,363,188355,592,87,3708,289,806
Newcastle upon Tyne,E08000021,5072,6364,4692,6037,4942,4664,217,279,830,859,1609,981,229520,1826,163,8024,2602,1496
North Tyneside,E08000022,1095,319,686,869,846,576,91,67,448,385,602,380,190936,596,29,2464,177,235
South Tyneside,E08000023,643,434,1534,235,465,316,61,43,324,229,440,332,140821,305,9,964,566,406
Sunderland,E08000024,1736,669,2075,1536,1320,1062,111,100,539,239,608,392,261209,608,70,2395,292,545
Blackburn with Darwen,E06000008,19791,17801,1525,721,1656,614,202,117,315,162,989,357,98144,794,161,2910,585,645
Blackpool,E06000009,627,223,231,514,687,183,111,52,690,264,448,351,133042,1029,237,3031,170,175
Cheshire East,E06000049,2147,856,504,1125,1428,664,511,227,1341,461,1293,778,346264,2241,313,9122,338,514
Cheshire West and Chester,E06000050,1242,336,576,935,1008,586,196,126,889,411,1059,691,312013,2337,213,6462,199,329
Halton,E06000006,282,44,60,308,249,95,134,31,465,253,330,308,121210,654,41,1136,54,92
Warrington,E06000007,1803,1179,152,849,928,389,214,91,654,357,663,470,187968,1357,66,4601,237,250
Allerdale,E07000026,81,34,91,123,148,43,20,10,134,39,179,74,94085,241,14,1045,2,59
Barrow-in-Furness,E07000027,137,47,43,183,223,56,7,7,117,45,109,89,67073,222,39,606,35,49
Carlisle,E07000028,273,109,180,337,349,107,19,21,152,91,162,130,102189,405,196,2690,52,62
Copeland,E07000029,137,79,70,164,179,52,21,11,117,37,109,76,68679,190,15,607,12,48
Eden,E07000030,77,7,49,79,80,9,7,6,66,11,89,45,51009,139,15,836,17,23
South Lakeland,E07000031,187,40,53,267,240,106,67,10,165,91,233,144,99089,355,36,2482,35,58
Bolton,E08000001,21665,12026,614,1423,3021,3451,608,593,1576,678,1826,812,219794,1694,214,4943,727,1121
Bury,E08000002,1387,9002,311,1100,1607,1116,593,184,1307,444,1005,609,157897,2357,72,4706,465,898
Manchester,E08000003,11417,42904,6437,13539,11689,25718,9642,8124,8877,4397,4791,5096,298237,11843,509,24520,9503,5884
Oldham,E08000004,1555,22686,16310,726,1888,1640,839,318,1950,440,1131,536,169955,1484,62,2825,154,398
Rochdale,E08000005,1105,22265,4342,948,2970,2131,285,354,1057,601,1348,563,166481,2131,186,4076,308,548
Salford,E08000006,2553,1843,605,2547,1881,5354,666,521,1647,1058,929,982,197445,2882,193,10342,1425,1060
Stockport,E08000007,2786,6673,705,1722,1876,976,745,237,1734,775,1460,1135,252044,3938,58,4779,727,905
Tameside,E08000008,3668,4910,4296,951,728,1188,371,225,1310,506,849,494,194115,1613,38,3663,154,245
Trafford,E08000009,6306,7027,457,2232,1951,1807,3802,931,2658,669,1535,1169,182200,5098,40,6496,1259,941
